"id","type","description","url"
"250","website","Kawashima Earthquake Engineering Laboratory","http://seismic.cv.titech.ac.jp/index.html"
"251","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Takemura_Kawashima4.txt"
"251","website","Kawashima Earthquake Engineering Laboratory","http://seismic.cv.titech.ac.jp/index.html"
"252","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Takemura_Kawashima5.txt"
"252","website","Kawashima Earthquake Engineering Laboratory","http://seismic.cv.titech.ac.jp/index.html"
"253","data","Force Displacement Data","http://depts.washington.edu/columdat/rectcol/txfiles/Takemura_Kawashima6.txt"
"253","website","Kawashima Earthquake Engineering Laboratory","http://seismic.cv.titech.ac.jp/index.html"
"254","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/dav75u1.jpeg"
"254","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/dav75u1.txt"
"255","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/dav75u2.jpeg"
"255","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/dav75u2.txt"
"256","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/dav75u3.jpeg"
"256","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/dav75u3.txt"
"257","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/mun76n1.jpeg"
"257","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/mun76n1.txt"
"258","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/ng78no2.jpeg"
"258","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/ng78no2.txt"
"259","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/ng78no3.jpeg"
"259","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/ng78no3.txt"
"260","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/ang81u1.jpeg"
"260","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/ang81u1.txt"
"261","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/ang81u2.jpeg"
"261","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/ang81u2.txt"
"262","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/pot79n1.jpeg"
"262","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/pot79n1.txt"
"263","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/pot79n3.jpeg"
"263","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/pot79n3.txt"
"264","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/pot79n4.jpeg"
"264","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/pot79n4.txt"
"265","graph","Force-Displacement Hysteresis","http://depts.washington.edu/columdat/circol/images/pot79n5a.jpeg"
"265","data","Force Displacement Data","http://depts.washington.edu/columdat/circol/txfiles/pot79n5a.txt"
